,weights,c,m,sigma,logL,logL_birth,nlive,pid,start_pid,end_pid
0,0.0,4.027937559636241,9.111667180595147,0.0032990742205019075,-45769.52603943502,-inf,5000,3023,2339,5000
1,0.0,8.280073707873846,-7.47458324484914,0.010402991769191683,-42598.773035900944,-inf,4999,479,498,5001
2,0.0,0.6916528298800895,-6.308182043913271,0.00482656629585243,-28605.21906516364,-inf,4998,4256,2474,5002
3,0.0,5.6537580044001645,-8.447765455102875,0.015018650218967533,-21703.77884242075,-inf,4997,1597,1284,5003
4,0.0,4.093998017046201,-3.4929883828157493,0.004969184259786541,-21492.87094745408,-inf,4996,4840,4601,5004
5,0.0,-8.379410594406584,8.122169525173838,0.026224023242702454,-19820.44419743126,-inf,4995,3954,3140,5005
6,0.0,8.669551852200579,-8.167405728900622,0.04038917572400935,-12368.105838098214,-inf,4994,651,996,5006
7,0.0,6.054425239598236,-1.3736465664715514,0.012975790215805638,-11466.4497888145,-inf,4993,1359,1729,5007
8,0.0,-8.795974495088132,1.5510382983318616,0.04310379976424361,-11167.965702921789,-inf,4992,2660,85,5008
9,0.0,8.716009972028957,-0.5310628998533495,0.02839414840472454,-10861.60444615127,-inf,4991,3660,3720,5009
10,0.0,9.731689380539805,6.734899112727768,0.04288700605291629,-9956.886074889784,-inf,4990,2470,1033,5010
11,0.0,8.940330720751057,-0.15534705164447882,0.03431277758882301,-9397.7622420328,-inf,4989,1210,2923,5011
12,0.0,3.089887449530324,-7.562815299051797,0.022301581912615998,-9153.047787632917,-inf,4988,585,80,5012
13,0.0,-1.4611271135022896,9.442745080195918,0.01832764597932135,-7972.164108571272,-inf,4987,3837,4408,5013
14,0.0,6.981483734140448,8.67508565559627,0.03569162280324667,-7591.562259630465,-inf,4986,2873,3589,5014
15,0.0,-8.739590920662401,3.637741085805195,0.06854276409340665,-7027.389798793105,-inf,4985,196,3340,5015
16,0.0,7.446944243367821,-5.470572505649138,0.047278137278694565,-6716.002598110918,-inf,4984,14,769,5016
